iter	Logloss
0	0.6251104485
1	0.58199666
2	0.559881099
3	0.5365236725
4	0.5162280814
5	0.5020011539
6	0.4857690119
7	0.4707020495
8	0.4611639699
9	0.4438047683
10	0.4308556565
11	0.4204540444
12	0.4102559362
13	0.4036903203
14	0.3984845555
15	0.3932486253
16	0.3836730834
17	0.3802008785
18	0.3703718366
19	0.3633199714
20	0.3587038896
21	0.3544857521
22	0.3470906555
23	0.3417411474
24	0.3369383411
25	0.3322088707
26	0.3255062559
27	0.32068646
28	0.3183793634
29	0.3160962685
30	0.3135152371
31	0.3097043867
32	0.3060611782
33	0.3015113043
34	0.2968829588
35	0.2903413562
36	0.2892971675
37	0.2858849697
38	0.2824726204
39	0.2792746902
40	0.2753507883
41	0.2716563582
42	0.266727648
43	0.2615066222
44	0.2575080707
45	0.2530793097
46	0.250173431
47	0.2486430842
48	0.2461014347
49	0.2440522577
50	0.2429356797
51	0.2409092593
52	0.2393327011
53	0.2384025452
54	0.2367439526
55	0.2354276036
56	0.2338570114
57	0.2311314564
58	0.2291902584
59	0.2266440085
60	0.224024576
61	0.2203056548
62	0.2185269594
63	0.2174695122
64	0.2155861678
65	0.2142682584
66	0.2130183895
67	0.2117622965
68	0.2105502687
69	0.2091094064
70	0.2049793297
71	0.2031203017
72	0.2006831309
73	0.1979571722
74	0.1970963247
75	0.1966486138
76	0.196088945
77	0.1945917146
78	0.1938937115
79	0.192283053
80	0.1909906653
81	0.1901588594
82	0.1892467205
83	0.188312935
84	0.1872451885
85	0.1864710585
86	0.1857837204
87	0.1851480711
88	0.184619095
89	0.1831561537
90	0.1814652863
91	0.1809820039
92	0.1787123122
93	0.1776844677
94	0.1769968548
95	0.1753056713
96	0.1749380052
97	0.1746339948
98	0.1739314902
99	0.1731096745
