iter	Passed	Remaining
0	155	15345
1	161	7916
2	173	5624
3	188	4535
4	204	3878
5	217	3402
6	227	3018
7	233	2679
8	237	2402
9	241	2173
10	244	1982
11	248	1820
12	251	1682
13	254	1562
14	257	1457
15	260	1366
16	262	1283
17	265	1210
18	268	1145
19	271	1085
20	274	1032
21	277	982
22	279	936
23	282	895
24	285	856
25	288	821
26	292	789
27	294	758
28	297	728
29	300	701
30	303	674
31	306	650
32	308	627
33	311	605
34	314	584
35	317	564
36	320	545
37	324	529
38	327	512
39	330	495
40	333	479
41	336	464
42	340	450
43	343	436
44	345	422
45	348	409
46	351	396
47	355	384
48	358	372
49	360	360
50	363	349
51	366	338
52	370	328
53	373	318
54	376	308
55	379	298
56	382	288
57	386	280
58	389	270
59	393	262
60	396	253
61	400	245
62	404	237
63	409	230
64	412	222
65	415	214
66	420	206
67	423	199
68	427	192
69	431	184
70	435	177
71	439	170
72	442	163
73	446	156
74	450	150
75	454	143
76	457	136
77	461	130
78	464	123
79	468	117
80	472	110
81	475	104
82	478	98
83	483	92
84	487	86
85	490	79
86	494	73
87	498	67
88	502	62
89	506	56
90	510	50
91	514	44
92	518	38
93	521	33
94	525	27
95	529	22
96	532	16
97	536	10
98	540	5
99	545	0
